'sample #','col 0'
0,4
1,86
2,86
3,85
4,85
5,87
6,88
7,86
8,86
9,86
10,88
11,86
12,85
13,86
14,87
15,86
16,85
17,85
18,84
19,89
20,88
21,86
22,88
23,88
24,89
25,88
26,86
27,86
28,90
29,89
30,90
31,91
32,92
33,90
34,90
35,88
36,88
37,91
38,91
39,93
40,94
41,94
42,95
43,97
44,98
45,98
46,96
47,96
48,98
49,102
50,101
51,101
52,102
53,104
54,106
55,108
56,108
57,107
58,106
59,105
60,105
61,109
62,108
63,106
64,110
65,108
66,105
67,98
68,103
69,103
70,98
71,96
72,95
73,94
74,93
75,91
76,91
77,88
78,88
79,89
80,88
81,88
82,89
83,87
84,87
85,86
86,87
87,86
88,85
89,84
90,84
91,86
92,86
93,86
94,86
95,86
96,86
97,82
98,82
99,82
100,86
101,86
102,85
103,84
104,86
105,86
106,86
107,83
108,84
109,85
110,86
111,86
112,82
113,86
114,86
115,85
116,83
117,83
118,80
119,87
120,88
121,89
122,87
123,86
124,83
125,84
126,84
127,84
128,83
129,83
130,80
131,83
132,86
133,90
134,89
135,87
136,83
137,86
138,87
139,86
140,85
141,83
142,82
143,82
144,82
145,81
146,85
147,88
148,86
149,84
150,86
151,85
152,84
153,85
154,86
155,85
156,84
157,83
158,81
159,81
160,79
161,82
162,85
163,90
164,87
165,86
166,86
167,85
168,85
169,86
170,82
171,81
172,81
173,82
174,83
175,85
176,86
177,87
178,85
179,85
180,84
181,84
182,84
183,86
184,86
185,78
186,75
187,91
188,89
189,86
190,85
191,85
192,86
193,84
194,85
195,86
196,86
197,83
198,80
199,85
200,86
201,86
202,84
203,82
204,82
205,84
206,83
207,84
208,87
209,88
210,86
211,88
212,85
213,84
214,86
215,83
216,84
217,81
218,85
219,86
220,89
221,89
222,89
223,89
224,88
225,88
226,88
227,86
228,84
229,81
230,87
231,89
232,91
233,89
234,89
235,90
236,89
237,88
238,85
239,83
240,82
241,82
242,85
243,87
244,89
245,86
246,86
247,87
248,83
249,82
250,81
251,83
252,83
253,83
254,76
255,75
256,77
257,82
258,83
259,83
260,92
261,99
262,114
263,126
264,133
265,142
266,137
267,131
268,113
269,100
270,89
271,81
272,81
273,80
274,77
275,80
276,82
277,82
278,81
279,80
280,83
281,86
282,87
283,87
284,86
285,84
286,80
287,83
288,84
289,88
290,84
291,83
292,88
293,88
294,87
295,85
296,85
297,85
298,86
299,85
300,87
301,88
302,89
303,90
304,88
305,86
306,86
307,86
308,84
309,84
310,90
311,90
312,89
313,91
314,90
315,91
316,91
317,89
318,90
319,91
320,91
321,92
322,94
323,97
324,97
325,97
326,98
327,97
328,96
329,97
330,99
331,104
332,105
333,106
334,104
335,105
336,106
337,107
338,106
339,106
340,107
341,105
342,105
343,107
344,103
345,104
346,103
347,102
348,101
349,100
350,98
351,97
352,94
353,94
354,94
355,89
356,87
357,86
358,90
359,90
360,89
361,89
362,88
363,87
364,85
365,86
366,86
367,86
368,86
369,87
370,85
371,86
372,85
373,83
374,84
375,86
376,86
377,85
378,83
379,82
380,84
381,85
382,83
383,84
384,84
385,84
386,85
387,85
388,82
389,83
390,84
391,87
392,84
393,82
394,84
395,85
396,85
397,84
398,84
399,84
400,83
401,86
402,85
403,86
404,85
405,84
406,82
407,83
408,82
409,78
410,81
411,84
412,87
413,87
414,85
415,86
416,85
417,86
418,85
419,86
420,85
421,84
422,82
423,81
424,79
425,87
426,90
427,88
428,86
429,86
430,84
431,85
432,84
433,82
434,83
435,81
436,80
437,77
438,76
439,82
440,87
441,88
442,87
443,86
444,86
445,84
446,83
447,83
448,83
449,86
450,86
451,86
452,85
453,85
454,86
455,84
456,85
457,85
458,86
459,84
460,79
461,79
462,82
463,91
464,88
465,85
466,86
467,84
468,85
469,84
470,84
471,83
472,82
473,82
474,81
475,77
476,86
477,89
478,85
479,86
480,84
481,83
482,84
483,84
484,83
485,80
486,79
487,85
488,86
489,88
490,86
491,84
492,84
493,84
494,85
495,84
496,85
497,87
498,86
499,87
500,85
501,85
502,84
503,84
504,84
505,81
506,81
507,82
508,87
509,88
510,88
511,87
512,86
513,86
514,87
515,87
516,87
517,88
518,89
519,88
520,83
521,87
522,89
523,89
524,88
525,86
526,87
527,85
